"","SITE_ID","VISIT_NO","MMI_BENT","OE_SCORE"
"335","OKS9-0936",1,36.82,0.741866132
"336","COS9-0938",1,34.48,1.152124901
"337","VTS9-0909",1,70.07,1.020246503
"338","PARF-0004",1,55.75,1.024138365
"339","DERO-1001",1,32.87,1.087860921
"340","CTS9-0921",1,54.72,0.863688534
"341","NYLS-1123",1,29.82,0.416230626
"342","KSS9-0932",1,5.95,0.542098951
"343","MTS9-0937",1,73.72,1.428357698
"344","NCRO-1016",1,31.38,0.964523205
"345","NYRO-1056",1,41.9,0.883079863
"346","NCS9-0920",1,16.67,0
"347","MNR9-0908",1,51.23,0.768934552
"348","MNRO-1052",1,15.62,0.735507782
"349","NHR9-0905",1,22.72,0.815602524
"350","CAR9-0912",1,33.4,0.318524773
"351","NVRM-1006",1,39.45,0.825358183
"352","ORR9-0911",1,21.65,0.612370017
"353","NDRO-1022",1,33.33,1.017886876
"354","NDRM-1001",1,36.27,0.797165505
"355","OHLS-1069",1,34.63,0.810562863
"356","WAS9-0921",1,49.65,1.23450557
"357","COS9-0937",1,42.43,1.114852526
"358","KSR9-0911",1,9.47,0.597655811
"359","NCRM-1002",1,1.75,0.438005392
"360","NYSS-1241",1,48.1,0.931906082
"361","OHLS-1074",1,42.68,0.863919442
"362","OHRO-1033",1,18.32,0.877949395
"363","COS9-0920",2,9.65,0.49399156
"364","COS9-0921",1,39.63,0.766189188
"365","NYLS-1124",1,78.88,1.076526842
"366","PAS9-0919",1,71.95,1.130767889
"367","WIS9-0927",1,43.23,0.899217359
"368","WYRF-0007",1,63.75,0.961269281
"369","OHSS-1122",1,12.38,0.35865461
"370","ARLS-1045",1,42.43,1.180071523
"371","KSR9-0912",1,27.05,1.225150133
"372","IASS-1090",1,39.27,0.805098989
"373","ILRF-0001",1,30.35,0.485781477
"374","INS9-0918",1,29.38,0.69917173
"375","NYRO-1051",1,16.6,0.575163215
"376","AZRM-1003",1,33.15,0.573375935
"377","IARF-0003",1,61.48,0.901780823
"378","CAR9-0904",1,30,0.269101705
"379","IASS-1088",1,48.78,0.731867136
"380","MIS9-0927",1,44.05,1.066088127
"381","SDRM-1007",1,29.07,0.549992668
"382","CAS9-0929",1,28.98,0.696587897
"383","WIS9-0929",1,27.87,0.647018387
"384","WAR9-0908",1,57.28,0.784610021
"385","OHSS-1127",1,49.45,0.760162777
"386","IAS9-0924",1,54.07,0.881122723
"387","MTS9-0932",1,59.45,1.246988104
"388","ARRO-1024",1,31.1,1.06026399
"389","MNRM-1002",1,53.98,0.79889938
"390","KSRF-0006",1,53.95,0.747504775
"391","ILLS-1071",1,44.4,0.931249077
"392","MNRM-1006",1,36.3,0.42477377
"393","LAS9-0948",1,45.17,0.764313326
"394","MOS9-0932",1,16.27,0.559845449
"395","NYR9-0906",1,30.25,0.416333175
"396","WYRF-0006",1,18.83,0.951903213
"397","INSS-1088",1,36.4,0.32497411
"398","SDRO-1072",1,25.52,1.119242557
"399","SDS9-0941",1,14.82,0.759896199
"400","IARO-1013",1,77.52,0.948002017
"401","NDRO-1024",1,39.8,0.8700789
"402","ORR9-0914",1,59.23,0.951885434
"403","ORS9-0939",1,27.82,0.467387808
"404","WISS-1164",1,19.25,0.218907773
"405","ILRF-0003",1,79,0.826408167
"406","OHRF-0002",1,47.43,0.682615752
"407","MOSS-1159",1,60.97,0.663982288
"408","TXSS-1210",1,37.43,1.195110569
"409","NCS9-0921",1,41.23,1.252979776
"410","NCRF-0002",1,45.47,0.921365341
"411","MTLS-1130",1,66.83,0.856734108
"412","KSRS-1303",1,32.97,1.033360025
